"","component 1","component 2"
"Bh",2.6536352454465,2.87585947857461
"Bh.sd",0.127506443118995,0.00560739628301929
"DP",0.916172119637895,0.275055270994054
"DP.sd",0.0831765972282264,0.00526556687067189
"P",0.167900964110545,0.859065035467349
"P.sd",0.0181572252944971,0.0237494440393703
"S",1.35134001012186,0.849205975327243
"S.sd",0.131522511163857,0.0170259276457422
"OC.mean",0.341905191864936,0.658092326218322
"OC.sd",0.0858767425661304,0.083659822738902
"EC.mean",0.388281831408164,0.611718306498231
"EC.sd",0.135005233550622,0.0426409972467612
